2026-02-15,10:07:18.522,true,Your Planner,19582,826533,787484,230436
2026-02-15,10:13:58.120,true,Your Planner,24574,1009682,960625,393377
2026-02-15,10:17:21.020,true,Your Planner,14478,635754,606769,152523
2026-02-15,10:22:45.862,true,Your Planner,22151,940711,895825,288235
2026-02-15,10:25:36.550,true,Your Planner,11083,494882,473373,76840.1
2026-02-15,10:27:30.286,true,Your Planner,12651,569570,544623,101503
2026-02-15,10:31:06.244,true,Your Planner,18228,783138,746616,187368
2026-02-15,10:34:38.394,true,Your Planner,17732,763482,727988,191133
2026-02-15,10:38:52.005,true,Your Planner,16611,718421,685438,163753
2026-02-15,10:47:30.326,true,Your Planner,12855,575429,550003,99021.6
