2026-02-14,20:41:49.375,true,Your Planner,9821,498084,480099,73357.9
2026-02-14,20:44:47.708,true,Your Planner,15585,764063,735040,159305
2026-02-14,20:54:07.177,true,Your Planner,27488,1259974,1207436,519687
2026-02-14,21:00:13.370,true,Your Planner,22468,1042156,999770,352048
2026-02-14,22:03:08.469,true,Your Planner,9205,478098,461036,67560
2026-02-14,22:06:38.719,true,Your Planner,8882,461897,445361,56070.8
2026-02-14,22:11:26.474,true,Your Planner,17805,853056,819552,192519
2026-02-14,22:20:42.218,true,Your Planner,11563,582820,561415,99044.3
2026-02-14,22:22:02.595,true,Your Planner,9705,502367,484277,71542.5
2026-02-14,22:25:19.738,true,Your Planner,15792,770813,741575,154761
