2026-02-15,12:05:01.066,true,Your Planner,7041,323147,310252,43418.5
2026-02-15,12:07:05.121,true,Your Planner,12468,540292,516655,117631
2026-02-15,12:07:54.444,true,Your Planner,6406,303940,291974,37689.7
2026-02-15,12:12:59.842,true,Your Planner,10271,459681,440074,86423.5
2026-02-15,12:15:29.835,true,Your Planner,13611,577088,551448,141138
2026-02-15,12:20:46.238,true,Your Planner,15655,650396,620808,198505
2026-02-15,12:24:22.811,true,Your Planner,6238,290352,278779,32732.8
2026-02-15,12:24:42.137,true,Your Planner,3402,171748,165554,13449.3
2026-02-15,12:27:19.999,true,Your Planner,13745,587393,561305,149572
2026-02-15,12:27:54.550,true,Your Planner,5428,263220,253066,26857.5
2026-02-15,12:30:40.918,true,Your Planner,11407,496070,474499,104654
